index,x_mm,y_mm,z_mm
582,46.31657,-5.55300,8.14200
583,45.48454,-4.72097,8.14200
584,46.03922,-3.05691,8.14200
585,59.35173,-1.94753,8.14200
586,57.13298,0.82591,8.14200
587,39.93766,-36.33819,8.45400
588,32.17202,-34.67412,8.45400
589,38.82828,-33.56475,8.45400
590,37.16422,-32.17803,8.29800
591,35.50015,-31.34599,8.45400
592,69.33612,-30.51396,8.29800
593,63.51189,-29.40459,8.45400
594,59.35173,-28.29521,8.29800
595,45.48454,-27.46318,8.45400
596,62.67986,-26.63115,8.29800
597,44.65250,-25.52177,8.45400
598,71.00018,-25.24443,8.45400
599,45.48454,-23.58036,8.45400
600,64.34393,-21.91630,8.45400
601,52.69548,-20.25224,8.45400
602,57.96502,-17.75614,8.45400
603,54.35954,-16.36942,8.45400
604,37.44156,-13.87332,8.45400
605,50.47673,-10.54520,8.29800
606,31.61734,-8.04910,8.45400
607,41.60172,-6.38504,8.45400
608,38.27359,-5.27566,8.45400
609,41.04703,-4.16628,8.45400
610,49.92204,-2.50222,8.45400
611,48.25798,-0.83816,8.45400
612,44.92985,-36.89288,8.76600
613,35.77750,-35.50616,8.76600
614,36.60953,-34.11943,8.76600
615,60.73846,-32.73272,8.76600
616,23.57436,-31.06865,8.76600
617,67.94940,-30.51396,8.76600
618,62.12518,-29.40459,8.61000
619,59.90643,-28.29521,8.61000
620,71.83221,-27.74052,8.76600
621,48.81266,-26.63115,8.61000
622,25.79311,-25.52177,8.76600
623,25.23842,-24.41240,8.76600
624,59.35173,-23.58036,8.76600
625,63.23455,-21.08427,8.61000
626,60.18377,-18.86552,8.76600
627,24.12905,-17.20145,8.76600
628,36.33218,-15.53739,8.76600
629,62.95721,-13.87332,8.76600
630,61.01580,-11.37723,8.76600
631,41.04703,-8.04910,8.76600
632,41.32438,-6.10769,8.76600
633,38.82828,-4.99832,8.61000
634,43.54313,-3.88894,8.76600
635,50.19938,-2.22488,8.76600
636,62.40252,-0.56081,8.76600
637,49.36735,-36.89288,9.07800
638,33.28140,-35.22881,9.07800
639,28.28921,-33.56475,9.07800
640,68.22675,-32.45537,9.07800
641,28.01187,-30.51396,9.07800
642,67.94940,-29.95927,9.07800
643,21.63295,-28.29521,8.92200
644,68.22675,-28.01787,9.07800
645,56.57830,-26.90849,9.07800
646,45.20719,-25.52177,9.07800
647,32.72671,-24.68974,9.07800
648,46.31657,-23.30302,9.07800
649,63.51189,-21.08427,9.07800
650,62.12518,-19.14286,9.07800
651,53.80486,-17.20145,8.92200
652,36.33218,-15.53739,9.07800
653,62.95721,-13.31864,9.07800
654,62.40252,-9.99051,9.07800
655,42.98844,-7.21707,9.07800
656,42.71110,-5.83035,9.07800
657,37.71890,-4.16628,9.07800
658,47.98063,-2.77956,9.07800
659,62.95721,-1.67019,9.07800
660,61.01580,0.27122,9.07800
661,58.79705,-36.61553,9.23400
662,31.06265,-34.39678,9.23400
663,30.78531,-32.73272,9.39000
664,64.62127,-31.62334,9.39000
665,69.61346,-30.51396,9.39000
666,35.50015,-29.12724,9.39000
667,70.44550,-28.57256,9.39000
668,55.74627,-27.18583,9.39000
669,56.85564,-26.07646,9.39000
670,57.68767,-24.96708,9.23400
671,47.98063,-23.85771,9.39000
672,52.69548,-22.74833,9.23400
673,63.51189,-20.52958,9.39000
674,33.55875,-18.31083,9.39000
675,55.19157,-16.64676,9.39000
676,52.69548,-14.98270,9.23400
677,38.27359,-12.76395,9.23400
678,62.40252,-9.43582,9.39000
679,33.00406,-6.66238,9.39000
680,46.03922,-5.83035,9.39000
681,46.87126,-3.88894,9.39000
682,49.92204,-3.05691,9.39000
683,46.03922,-1.39284,9.39000
684,59.90643,0.27122,9.39000
685,54.91423,-36.89288,9.70200
686,63.78924,-35.22881,9.70200
687,40.21500,-32.73272,9.70200
688,24.12905,-31.06865,9.70200
689,66.56268,-30.51396,9.54600
690,36.60953,-29.12724,9.70200
691,45.48454,-28.01787,9.70200
692,71.55487,-27.18583,9.54600
693,33.28140,-25.79912,9.70200
694,25.23842,-23.85771,9.70200
695,69.89081,-23.58036,9.70200
696,34.39078,-21.63896,9.54600
697,33.00406,-19.97489,9.70200
698,63.51189,-18.31083,9.70200
699,36.05484,-16.09208,9.54600
700,37.44156,-14.42801,9.70200
701,60.73846,-12.20926,9.70200
702,62.95721,-8.32644,9.70200
703,33.83609,-6.38504,9.70200
704,38.55094,-4.99832,9.70200
705,43.26579,-3.61160,9.70200
706,42.15641,-1.94753,9.70200
707,49.92204,-0.83816,9.70200
708,49.92204,-37.44756,10.01400
709,39.93766,-35.78350,10.01400
710,41.32438,-33.84209,10.01400
711,29.39858,-31.90068,10.01400
712,67.67206,-31.34599,10.01400
713,50.75407,-29.40459,10.01400
714,23.01967,-27.74052,10.01400
715,34.11343,-26.63115,10.01400
716,52.41814,-24.96708,10.01400
717,71.55487,-24.13505,10.01400
718,53.25017,-22.19364,9.85800
719,51.86345,-20.52958,10.01400
720,33.55875,-18.31083,10.01400
721,52.41814,-16.64676,10.01400
722,24.12905,-14.98270,10.01400
723,38.27359,-13.31864,9.85800
724,46.59391,-10.54520,9.85800
725,62.95721,-7.77176,10.01400
726,48.25798,-6.10769,9.85800
727,36.60953,-4.72097,10.01400
728,39.38297,-3.05691,10.01400
729,56.30095,-1.67019,10.01400
730,53.25017,-0.28347,10.01400
731,37.71890,-36.89288,10.32600
732,36.88687,-34.95147,10.32600
733,67.39471,-33.28740,10.32600
734,64.62127,-31.62334,10.32600
735,62.95721,-30.51396,10.32600
736,23.29702,-28.29521,10.17000
737,54.91423,-27.46318,10.32600
738,58.24236,-26.35380,10.32600
739,45.76188,-23.85771,10.32600
740,57.13298,-22.74833,10.17000
741,32.72671,-20.25224,10.32600
742,56.30095,-18.31083,10.32600
743,36.05484,-16.92411,10.32600
744,33.83609,-15.53739,10.17000
745,38.82828,-13.87332,10.17000
746,45.76188,-12.20926,10.32600
747,61.57049,-9.71316,10.32600
748,49.36735,-6.66238,10.17000
